dir,paquet,"Outil librairie",Qui,License,"site du produit ","lien pour telecharger",remarque
petsc,pastix_5.2.2.20.tar.bz2,,GF,"CeCILL-C license",http://pastix.gforge.inria.fr/files/README-txt.html,https://gforge.inria.fr/frs/download.php/file/33841/pastix_5.2.2.20.tar.bz2,
gnuplot,zlib-1.2.5.tar.gz,,GF,"free zlib/libpng license",http://www.zlib.net/,http://sourceforge.net/projects/libpng/files/zlib/1.2.5/zlib-1.2.5.tar.gz/download,
gnuplot,gnuplot-4.6.6.tar.gz,outil,AC,specifique,http://gnuplot.sourceforge.net/,http://sourceforge.net/projects/gnuplot/files/gnuplot/4.6.6/gnuplot-4.6.6.tar.gz/download,
gnuplot,gd-2.0.36RC1.tar.gz,,GF,BSD,http://www.libgd.org/,https://storage.googleapis.com/google-code-archive-downloads/v2/code.google.com/lamefox-linux/gd-2.0.36RC1.tar.gz,"version non trouvable: changer de version"
gnuplot,libpng-1.5.6.tar.gz,lib,AC,"free zlib/libpng license",http://www.libpng.org/pub/png/,http://sourceforge.net/projects/libpng/files/libpng15/older-releases/1.5.6/libpng-1.5.6.tar.gz/download,
General,medcoupling-8.3.0.tar.gz,,GF,LGPL,http://files.salome-platform.org,http://downloads.sourceforge.net/project/trust-platform/1.7.5/extra/medcoupling-8.3.0.tar.gz,
General,CURVEPLOT.tgz,,GF,LGPL,http://files.salome-platform.org,http://downloads.sourceforge.net/project/trust-platform/1.7.5/extra/CURVEPLOT.tgz,
General,nvc_get_devices.tgz,,GF,LGPL,http://files.salome-platform.org,http://downloads.sourceforge.net/project/trust-platform/1.7.3/extra/nvc_get_devices.tgz,
utils,bc-1.06.tar.gz,outil,GF,GPL,http://www.gnu.org/software/bc,http://ftp.gnu.org/gnu/bc/bc-1.06.tar.gz,
utils,gawk-4.1.4.tar.gz,outil,GF,GPL,http://www.gnu.org/software/gawk,http://ftp.gnu.org/gnu/gawk/gawk-4.1.4.tar.gz,
utils,ed-1.13.tar.gz,outil,GF,GPL,http://www.gnu.org/software/ed,http://ftp.gnu.org/gnu/ed/ed-1.13.tar.lz,
utils,unzip-60.tar.gz,outil,GF,GPL,http://www.info-zip.org,ftp://ftp.info-zip.org/pub/infozip/src/unzip60.tgz, 
utils,sed-4.3.tar.gz,outil,GF,GPL,http://www.gnu.org/software/sed,http://ftp.gnu.org/gnu/sed/sed-4.3.tar.xz,
Python_modules,PySide-1.2.4.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/P/PySide/PySide-1.2.4.tar.gz,
Python_modules,distribute-0.6.28.tar.gz,,GF,LGPL,http://pypi.python.org,http://pypi.python.org/packages/source/d/distribute/distribute-0.6.28.tar.gz,
Python_modules,distribute-0.7.3.zip,,GF,LGPL,http://pypi.python.org,http://pypi.python.org/packages/source/d/distribute/distribute-0.7.3.zip,
Python_modules,cycler-0.9.0.tar.gz,,GF,LGPL,http://pypi.python.org,http://pypi.python.org/packages/source/C/Cycler/cycler-0.9.0.tar.gz,
Python_modules,python-dateutil-2.4.2.tar.gz,,GF,LGPL,http://pypi.python.org,http://pypi.python.org/packages/source/p/python-dateutil/python-dateutil-2.4.2.tar.gz,
Python_modules,six-1.10.0.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/s/six/six-1.10.0.tar.gz,
Python_modules,pip-8.0.2.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/p/pip/pip-8.0.2.tar.gz,
Python_modules,pyparsing-1.5.6.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/p/pyparsing/pyparsing-1.5.6.tar.gz,
Python_modules,pytz-2014.10.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/p/pytz/pytz-2014.10.tar.gz,
Python_modules,wheel-0.26.0.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/w/wheel/wheel-0.26.0.tar.gz,
Python_modules,jsonschema-2.5.1.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/j/jsonschema/jsonschema-2.5.1.tar.gz,
Python_modules,functools32-3.2.3-2.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/f/functools32/functools32-3.2.3-2.tar.gz,
Python_modules,matplotlib-1.5.1.tar.gz,,GF,LGPL,http://sourceforge.net/projects/matplotlib/files/matplotlib/matplotlib,http://sourceforge.net/projects/matplotlib/files/matplotlib/matplotlib-1.5.1/matplotlib-1.5.1.tar.gz,
Python_modules,numpy-1.10.1.tar.gz,,GF,LGPL,http://sourceforge.net/projects/numpy/files/NumPy/1.10.1,http://sourceforge.net/projects/numpy/files/NumPy/1.10.1/numpy-1.10.1.tar.gz,
Python_modules,vcversioner-2.14.0.0.tar.gz,,GF,LGPL,http://pypi.python.org,https://pypi.python.org/packages/source/v/vcversioner/vcversioner-2.14.0.0.tar.gz,
